workload,model,status,paper_bw_speedup,walltime_at_paper_best,tool_at_paper_best,best_walltime_speedup,best_iter_bw,best_iter_walltime,best_iter_agrees,n_decision_disagreements,bytes_ratio,ops_ratio,opens_ratio,work_changed,work_source,bytes_configured_ratio,files_configured_ratio,record_cap_hit,guarded_walltime,n_phases,primary_log,note
custom_load_imbalance,claude-sonnet,already_healthy,1.0,,,,-1,,,0,,,,,,,,,,,,excluded by classifier (already_healthy); no iterations
custom_load_imbalance,gpt-4o,already_healthy,1.0,,,,-1,,,0,,,,,,,,,,,,excluded by classifier (already_healthy); no iterations
custom_load_imbalance,gpt-4.1-mini,already_healthy,1.0,,,,-1,,,0,,,,,,,,,,,,excluded by classifier (already_healthy); no iterations
custom_load_imbalance,llama-70b,already_healthy,1.0,,,,-1,,,0,,,,,,,,,,,,excluded by classifier (already_healthy); no iterations
dlio_many_small_files,claude-sonnet,max_iterations_reached,9.33,1.0041238987455317,,1.441854213229656,0,2,False,1,0.9998828804920016,1.0,1.0,True,configured,256.0,1.0,False,1.0,1,mbanisha_python3.9_id17318913-2600640_4-6-5325-16499584383590841014_1.darshan,
dlio_many_small_files,gpt-4o,max_iterations_reached,1.0,1.0,1.0,1.0378793545723966,-1,4,False,3,1.0,1.0,1.0,False,,,,,1.0,,mbanisha_python3.9_id17318783-2148372_4-6-5042-16061159264129736915_1.darshan,loop kept the baseline config (no iteration improved bw)
dlio_many_small_files,gpt-4.1-mini,max_iterations_reached,1.12,1.0599482018923851,,1.0908796465646662,3,2,False,2,1.0000323908832123,0.9999463763841596,1.0,True,configured,4096.0,1.0,False,1.0,1,mbanisha_python3.9_id17340334-1246066_4-6-56872-5037780403895781613_1.darshan,
dlio_many_small_files,llama-70b,max_iterations_reached,1.32,1.0185303587404995,,1.0185303587404995,0,0,True,0,1.0000523351442954,0.9999731881920798,1.0,True,configured,4096.0,1.0,False,1.0,1,mbanisha_python3.9_id17318885-4136311_4-6-5294-2201082437139959916_1.darshan,
dlio_shuffle_heavy,claude-sonnet,max_iterations_reached,1.2,2.424783050259429,,2.424783050259429,4,4,True,1,0.05942361517133176,0.9183814009861444,1.0,True,configured,16.0,1.0,False,1.0,1,mbanisha_python3.9_id17319087-432757_4-6-5975-12519535767093426512_1.darshan,
dlio_shuffle_heavy,gpt-4o,max_iterations_reached,1.0,1.0,1.0,1.0282376444239256,-1,0,False,2,1.0,1.0,1.0,False,,,,,1.0,,mbanisha_python3.9_id17318788-1429426_4-6-5043-13519221332398868491_1.darshan,loop kept the baseline config (no iteration improved bw)
dlio_shuffle_heavy,gpt-4.1-mini,max_iterations_reached,3.09,1.0140913968303535,,1.0403480651655261,0,1,False,2,0.9981480480819771,0.9999724533083577,1.0,True,configured,16.0,1.0,False,1.0,1,mbanisha_python3.9_id17339736-3163471_4-6-56456-16548744690269357957_1.darshan,
dlio_shuffle_heavy,llama-70b,max_iterations_reached,1.02,2.3303499315544633,,2.3431110141597147,3,1,False,4,0.9982083020796143,1.0,1.0,True,configured,16.0,1.0,False,1.0,1,mbanisha_python3.9_id17319025-2491105_4-6-5757-5789196866035350643_1.darshan,
dlio_small_records,claude-sonnet,max_iterations_reached,1.0,1.0,1.0,1.329419455478351,-1,4,False,2,1.0,1.0,1.0,False,,,,,1.0,,mbanisha_python3.9_id17318819-1430404_4-6-5132-4073256814993091923_1.darshan,loop kept the baseline config (no iteration improved bw)
dlio_small_records,gpt-4o,max_iterations_reached,1.0,1.0,1.0,1.004870298866367,-1,0,False,1,1.0,1.0,1.0,False,,,,,1.0,,mbanisha_python3.9_id17318786-4132461_4-6-5030-12712757899322121579_1.darshan,loop kept the baseline config (no iteration improved bw)
dlio_small_records,gpt-4.1-mini,max_iterations_reached,1.0,1.0,1.0,1.1949598368087821,-1,4,False,3,1.0,1.0,1.0,False,,,,,1.0,,mbanisha_python3.9_id17338426-1155854_4-6-55801-9801184782973748692_1.darshan,loop kept the baseline config (no iteration improved bw)
dlio_small_records,llama-70b,max_iterations_reached,1.05,1.270091593510545,,1.3205459208497885,3,0,False,4,0.9999404093563583,1.0000862068965517,1.0,True,configured,1024.0,1.0,False,1.0,1,mbanisha_python3.9_id17319036-2156644_4-6-5753-15879834601083690102_1.darshan,
h5bench_indep_vs_coll,claude-sonnet,max_iterations_reached,8.83,0.3500540937834434,0.2959105529177516,1.1048100742362512,0,2,False,3,1.0,1.0169851380042463,1.0,False,darshan,,,False,0.3500540937834434,2,mbanisha_h5bench_read_id17318872-556591_4-6-5457-1651044498653226931_1.darshan,
